via_point,mentions,sacco_count,num_corridors,corridors_touched,sample_saccos,example_via_raw,example_permit,VERDICT
kamwangi,2,2,0,(none known),GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY. | LIBERA IMPEX LIMITED,"Thika, Thika rdJujaGatunduKangoo, Kamwangi",GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY. / NTR-00201911141534530,
uplands,2,2,0,(none known),NAKWE TRAVELLERS SACCO SOCIETY LTD | HOME SACCO LIMITED,"Limuru, Ngecha, Uplands",HOME SACCO LIMITED / NTR-00471,
hillocks,2,1,0,(none known),INDIMA (NJE) SACCO,"muthurwa, lusaka road, industrial area, enterprise road, hillocks, mombasa road, kwa njenga",INDIMA (NJE) SACCO / ADR-Q5LCYA7,
ithanga,2,1,0,(none known),ITHANGA TRAVELLERS SACCO,"ithanga, thika, nairobi",ITHANGA TRAVELLERS SACCO / NTR-00565,
makongeni thika ruiru juja juja farm gatundu,2,1,0,(none known),JUJA ATHI TRAVELLERS SACCO.,"athi, makongeni thika ruiru juja juja farm gatundu, muranga",JUJA ATHI TRAVELLERS SACCO. / ADR-DB3T5EP,
kangari,2,1,0,(none known),KANDARA SOUTH TRAVELLERS SACCO (K.S.T),"nairobi, thika, kangari",KANDARA SOUTH TRAVELLERS SACCO (K.S.T) / NTR-00231,
kitengela athi river syokimau jkia utawala ruai malaa kangundo rd kangundo umoja innercore outering rd dandora kariobangi huruma buruburu jogoo rdkencom rongai kiserian ngong hardy knh kibera kawangware kikuyu waiyaki way thika rd,2,2,0,(none known),SOWETAMU TRAVELLERS SACCO | KENYA BUS SERVICE MANAGEMENT LIMITED,"isinya, kitengela athi river syokimau jkia utawala ruai malaa kangundo rd kangundo umoja innercore outering rd dandora kariobangi huruma buruburu jogoo rdkencom rongai kiserian ngong hardy knh kibera kawangware kikuyu waiyaki way thika rd, thika",KENYA BUS SERVICE MANAGEMENT LIMITED / NTR-001152,
masii,2,1,0,(none known),KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"nairobi, kitengela, machakos, masii, tawa, mbumbuni",KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-3ZQSLO2,
tawa,2,1,0,(none known),KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"nairobi, kitengela, machakos, masii, tawa, mbumbuni",KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-3ZQSLO2,
mbumbuni,2,1,0,(none known),KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"nairobi, kitengela, machakos, masii, tawa, mbumbuni",KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-3ZQSLO2,
zambezi,2,2,0,(none known),METROTRANS EAST AFRICA LIMITED | KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"kikuyu, wangige,chura,kahuho,zambezi,nderi,nduma, limuru",KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201909161225430,
nduma,2,2,0,(none known),WAKIMALI TRAVELLERS CO. LIMITED | KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"kikuyu, wangige,chura,kahuho,zambezi,nderi,nduma, limuru",KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201909161225430,
naivasha road,2,2,0,(none known),LATEMA 22 TRAVELLERS SACCO | STARBUS COMPANY (K) LTD,"railways, ngong road, naivasha road, satellite , kabiria, uthiru",LATEMA 22 TRAVELLERS SACCO / ADR-8LMSY6Y,
kitale,2,2,0,(none known),LIBERA IMPEX LIMITED | RISEN COMPANY LIMITED,"Malindi, Mombasa Voi Machakos Nairobi Bomet kericho Kisii Kisumu Kakamega Busia Eldoret, Kitale",LIBERA IMPEX LIMITED / NTR-00809,
outering rd juja rd eastleigh tom mboya kenyatta av gpo community knh ngong rd kawangware kikuyu waiyaki way forest rd kiambu rd bypass thika rd githurai mwiki ruiru thika,2,2,0,(none known),LOTHIAN TRANSPORTERS | UNIFIED INTERNATIONAL LIMITED,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu waiyaki way forest rd Kiambu rd bypass thika rd Githurai mwiki Ruiru Thika, kenol",LOTHIAN TRANSPORTERS / ADR-3ZQS3QL,
via machakos,2,1,0,(none known),MANCHESTER TRAVELLERS COACH LIMITED,"nairobi, thika,matuu,mwingi,kitui,via machakos,wote,kibwezi, mombasa",MANCHESTER TRAVELLERS COACH LIMITED / NTR-0020181207160047502,
ruiru town,2,1,0,(none known),MARUTI T.R.R SACCO,"ruiru prison, ruiru town, kenol",MARUTI T.R.R SACCO / ADR-LZRSRZZ,
riruta satellite,2,1,0,(none known),mat two friends limited,"railways, dagoretti corner, riruta satellite",mat two friends limited / ADR-537H2YW,
savanna,2,1,0,(none known),MAVEROUS SHUTTLE LIMITED,"komarock, savanna, jogoo road, eastleigh, mfangano street",MAVEROUS SHUTTLE LIMITED / NTR-00763,
kawangware kenyatta ambasdour tom mboya thika road kasarani,2,2,0,(none known),METROTRANS EAST AFRICA LIMITED | SUPER METRO LIMITED,"kikuyu, kawangware kenyatta ambasdour tom mboya thika road kasarani, juja",METROTRANS EAST AFRICA LIMITED / NTR-00191,
thogoto kawangware kenyatta ambasdour tom mboya thika road kasarani,2,1,0,(none known),METROTRANS EAST AFRICA LIMITED,"kikuyu, thogoto kawangware kenyatta ambasdour tom mboya thika road kasarani, utawala",METROTRANS EAST AFRICA LIMITED / NTR-00190,
zambezi kikuyu ngonglangata kabiria kawangware knh ambassador bus stationutawalakoma mwiki,2,1,0,(none known),METROTRANS EAST AFRICA LIMITED,"Limuru, Zambezi Kikuyu ngonglangata kabiria kawangware knh ambassador bus stationutawalakoma mwiki, Thika",METROTRANS EAST AFRICA LIMITED / ADR-EPJSE6O,
garissa rd,2,1,0,(none known),MWIKI PSV SACCO SOCIETY LIMITED,"Commercial, odeon Slip Rd Moi Avenue River Rd Munyu Rd Latema Rd via Westands juja Rd Outering Rd Eatleigh Wangari maathai Rd Kipande Rd Bus Station Thika Rd Kasarani Mwiki Njiru Utawala kangundo Rd eastern Bypass Juja RuiruThika Kangundo Jogoo Rd, Garissa Rd",MWIKI PSV SACCO SOCIETY LIMITED / NTR-00202012241623260,
nunguni,2,1,0,(none known),NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD,"nairobi, machakos, nunguni, makueni, kibwezi, mtiti andei, voi, mombasa",NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD / ADR-O68IBR3,
kirinyaga,2,1,0,(none known),NEO KENYA MPYA COMMUTERS LIMITED,"nairobi, thika,kerugoya, kirinyaga",NEO KENYA MPYA COMMUTERS LIMITED / NTR-00149,
temple lane,2,1,0,(none known),OBAMANA TRAVELLERS SACCO,"temple lane, jogoo road, outer ring road, kangundo road, kantafu market",OBAMANA TRAVELLERS SACCO / ADR-7WRSZQK,
outer ring road,2,1,0,(none known),OBAMANA TRAVELLERS SACCO,"temple lane, jogoo road, outer ring road, kangundo road, kantafu market",OBAMANA TRAVELLERS SACCO / ADR-7WRSZQK,
bomas railways,2,2,0,(none known),SALTY INVESTMENTS LIMITED | ongata rongai bus services,"ongata rongai, bomas railways, Kitengela",ongata rongai bus services / NTR-00202106141134550,
gill house,2,1,0,(none known),OUTER CIRCLE SACCO,"gill house, outering,jogoo road, buruburu",OUTER CIRCLE SACCO / ADR-Q5LCBO2,
lungalunga rd,2,1,0,(none known),OUTREACH TRAVEL,"temple rd, muthurwa,jogoo rd,likoni rd,lungalunga rd, donholm route",OUTREACH TRAVEL / NTR-00601,
donholm route,2,1,0,(none known),OUTREACH TRAVEL,"temple rd, muthurwa,jogoo rd,likoni rd,lungalunga rd, donholm route",OUTREACH TRAVEL / NTR-00601,
green span,2,1,0,(none known),QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Huruma, Eastleigh, Jogoo road, Likoni road, Lunga lunga, Outering road, Green span, Cabanas Terminus, Mombasa rd",QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-K9BFBEY,
cabanas terminus,2,1,0,(none known),QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Huruma, Eastleigh, Jogoo road, Likoni road, Lunga lunga, Outering road, Green span, Cabanas Terminus, Mombasa rd",QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-K9BFBEY,
koma bus,2,1,0,(none known),REMBO SHUTTLE SAVINGS AND CREDIT SACCO LTD,"Railways, Jogoo rd Cabanas Kitengela Kajiado Athi River Machakos Katani Kangundo road Ruai Joska, Koma bus",REMBO SHUTTLE SAVINGS AND CREDIT SACCO LTD / NTR-0020160526151433,
nyeri town,2,1,0,(none known),RWARE TRAVELLERS SACCO,"Kangemi, Nyeri town, Ruringu",RWARE TRAVELLERS SACCO / NTR-00202101181115420,
hazina estate,2,1,0,(none known),SINGLE LINE SERVICES LIMITED,"south b, gpo, ambassador, hazina estate",SINGLE LINE SERVICES LIMITED / ADR-JY7S2Y8,
ruiru eastern bypass commercial kikuyu mutarakwa thigio limuru githunguri kiambu wangige,2,1,0,(none known),SONY CLASSIC SHUTTLE EAST AFRICA LIMITED,"Juja, Ruiru Eastern bypass Commercial Kikuyu Mutarakwa Thigio Limuru Githunguri Kiambu Wangige, Ruaka",SONY CLASSIC SHUTTLE EAST AFRICA LIMITED / NTR-00202104201026350,
eastern by pass,2,1,0,(none known),SONY CLASSIC SHUTTLE EAST AFRICA LIMITED,"Eastern by pass, Ruiru JujaRuaka Kiambu Githunguri Thigio Wangige Mutarakwa Limuru, kikuyu",SONY CLASSIC SHUTTLE EAST AFRICA LIMITED / NTR-00202104290903280,
ruiru jujaruaka kiambu githunguri thigio wangige mutarakwa limuru,2,1,0,(none known),SONY CLASSIC SHUTTLE EAST AFRICA LIMITED,"Eastern by pass, Ruiru JujaRuaka Kiambu Githunguri Thigio Wangige Mutarakwa Limuru, kikuyu",SONY CLASSIC SHUTTLE EAST AFRICA LIMITED / NTR-00202104290903280,
ngara fig tree,2,2,0,(none known),SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | SOUTHLEIGH S LIMITED,"Ngara fig tree, Kariokor Juja rd GikombaEastleigh Kiambiu Jericho Buruburu Alsops Outering rd Cabanas Mombasa rd Nyayo round about Lusaka rd Likoni rd Muthurwa Jogoo rd Savannah Umoja Saika Mowlem Civil servants eastern bypass utawala, Kangundo rd",SOUTHLEIGH S LIMITED / ADR-537HQE2,
kariokor juja rd gikombaeastleigh kiambiu jericho buruburu alsops outering rd cabanas mombasa rd nyayo round about lusaka rd likoni rd muthurwa jogoo rd savannah umoja saika mowlem civil servants eastern bypass utawala,2,2,0,(none known),SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED | SOUTHLEIGH S LIMITED,"Ngara fig tree, Kariokor Juja rd GikombaEastleigh Kiambiu Jericho Buruburu Alsops Outering rd Cabanas Mombasa rd Nyayo round about Lusaka rd Likoni rd Muthurwa Jogoo rd Savannah Umoja Saika Mowlem Civil servants eastern bypass utawala, Kangundo rd",SOUTHLEIGH S LIMITED / ADR-537HQE2,
ruia,2,1,0,(none known),UMOINNER SACCO LTD,"Ronald Ngala, Jogoo road Shauri Moyo Outering road Kangundo road Saika, Ruia",UMOINNER SACCO LTD / NTR-00201909161142390,
kagundo road,2,1,0,(none known),UMOINNER SACCO LTD,"ronald ngala, jogoo road, buruburu, kagundo road, moulem",UMOINNER SACCO LTD / ADR-ZZJS2V8,
outering rd juja rd eastleigh tom mboya kenyatta av gpo community knh ngong rd kawangware kikuyu waiyaki way westlands limuru rd forest rd kiambu rd bypass thika rd githurai mwiki ruiru thika,2,1,0,(none known),UNIFIED INTERNATIONAL LIMITED,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu waiyaki way Westlands Limuru Rd forest rd Kiambu rd bypass thika rd Githurai mwiki Ruiru Thika, kenol",UNIFIED INTERNATIONAL LIMITED / ADR-9AKFOPZ,
ndumbuini,2,1,0,(none known),WAKIMALI TRAVELLERS CO. LIMITED,"Kikuyu, Ndumbuini, Ndeiya(kamangu), Muguga, Limuru",WAKIMALI TRAVELLERS CO. LIMITED / NTR-00616,
ndumboini,2,1,0,(none known),WAKIMALI TRAVELLERS CO. LIMITED,"kikuyu, ndumboini,ndaiya, limuru",WAKIMALI TRAVELLERS CO. LIMITED / ADR-9AKFR99,
ndaiya,2,1,0,(none known),WAKIMALI TRAVELLERS CO. LIMITED,"kikuyu, ndumboini,ndaiya, limuru",WAKIMALI TRAVELLERS CO. LIMITED / ADR-9AKFR99,
